number,type,short_description,category,priority,state,opened_at,resolved_at,assignment_group,region,related_ci
PRB0004027,Problem,Wi-Fi outage in backup area of store W385 — RF guns offline,Store Network & Connectivity,2,Resolved,2025-07-30 11:57,2025-07-30 15:39,Network Ops,National / Online,Store-Router-11
PRB0004028,Problem,"Loyalty card lookup timing out at till, store W137",WRewards Loyalty,4,Fix in Progress,2026-05-23 10:38,,Loyalty Platform,KwaZulu-Natal,Loyalty-API-09
CHG0007029,Change Request,Deploy fix for bank switch latency above 8s causing tender timeouts,Payments & EFT,3,Authorise,2025-08-28 16:06,,Payments Ops,KwaZulu-Natal,EFT-Switch-39
INC0010101,Incident,EFT declines spiking at store W454 — response code 91,Payments & EFT,3,Closed,2025-12-10 17:34,2025-12-11 10:20,Payments Ops,KwaZulu-Natal,EFT-Switch-07
PRB0004029,Problem,"Receipt printer failure on till 2, store W254",POS & Tills,3,Root Cause Analysis,2026-06-09 07:47,,Store Systems,Free State,POS-Terminal-33
PRB0004030,Problem,Same-day delivery cutoff not enforced — late promises made,Order Fulfilment,2,Root Cause Analysis,2026-05-28 18:19,,Fulfilment Tech,Mpumalanga,OMS-Core-17
INC0010102,Incident,WRewards points not awarded on qualifying basket,WRewards Loyalty,4,Resolved,2026-02-08 07:34,2026-02-10 16:34,Loyalty Platform,Western Cape,Loyalty-API-07
INC0010103,Incident,Picking app not releasing waves at DC 11,Order Fulfilment,3,Resolved,2026-06-07 12:27,2026-06-09 07:45,Fulfilment Tech,KwaZulu-Natal,OMS-Core-22
PRB0004031,Problem,Stock sync job overran window by 23 hours — online availability stale,Inventory & Stock Sync,3,Resolved,2025-08-09 17:39,2025-08-11 22:50,Merch Systems,Western Cape,Stock-Sync-Job-08
INC0010104,Incident,App checkout button unresponsive on iOS 21,Mobile App,1,Resolved,2026-05-28 15:11,2026-05-28 22:33,Digital Commerce,Gauteng,Mobile-BFF-18
PRB0004032,Problem,Purchase order acknowledgements not reaching vendor FreshCo,Supply Chain EDI,4,Closed,2025-09-26 11:17,2025-09-28 15:35,Integration Hub,KwaZulu-Natal,EDI-Gateway-06
CHG0007030,Change Request,Deploy fix for stock sync job overran window by 21 hours — online availability stale,Inventory & Stock Sync,4,Closed,2026-05-29 06:30,2026-05-30 13:18,Merch Systems,Free State,Stock-Sync-Job-34
INC0010105,Incident,Dual-message settlement mismatch for trading date 2026-02-04,Payments & EFT,2,Resolved,2026-05-17 10:37,2026-05-18 05:48,Payments Ops,Gauteng,EFT-Switch-03
CHG0007031,Change Request,"Emergency change: pos eod batch stuck at store w289, trading day not closed",POS & Tills,4,Closed,2026-04-21 06:29,2026-04-24 09:32,Store Systems,KwaZulu-Natal,POS-Terminal-04
INC0010106,Incident,EFT declines spiking at store W521 — response code 91,Payments & EFT,4,New,2026-04-10 06:08,,Payments Ops,KwaZulu-Natal,EFT-Switch-17
INC0010107,Incident,Card payments timing out across Free State stores,Payments & EFT,4,Resolved,2025-12-30 10:42,2026-01-02 01:43,Payments Ops,KwaZulu-Natal,EFT-Switch-19
PRB0004033,Problem,Gift card balance enquiry timing out online,Gift Cards & Vouchers,4,Closed,2026-05-12 10:13,2026-05-12 19:57,Payments Ops,KwaZulu-Natal,GiftCard-Service-07
PRB0004034,Problem,WRewards linking failing in app with error ERR-616,WRewards Loyalty,2,Root Cause Analysis,2025-07-27 19:59,,Loyalty Platform,Eastern Cape,Loyalty-API-30
PRB0004035,Problem,High packet loss to data centre from KwaZulu-Natal stores,Store Network & Connectivity,4,New,2025-08-06 10:09,,Network Ops,Mpumalanga,Store-Router-21
INC0010108,Incident,WRewards linking failing in app with error ERR-345,WRewards Loyalty,3,Closed,2026-03-29 12:51,2026-04-01 09:41,Loyalty Platform,National / Online,Loyalty-API-12
PRB0004036,Problem,Wi-Fi outage in backup area of store W464 — RF guns offline,Store Network & Connectivity,3,Root Cause Analysis,2026-01-27 13:08,,Network Ops,Western Cape,Store-Router-13
INC0010109,Incident,"Mismatch between shelf-edge label and till price, store W210",Pricing & Promotions,1,In Progress,2025-07-19 08:54,,Merch Systems,Gauteng,Promo-Engine-37
INC0010110,Incident,"Loyalty card lookup timing out at till, store W261",WRewards Loyalty,3,Resolved,2026-01-13 16:35,2026-01-16 23:02,Loyalty Platform,Gauteng,Loyalty-API-33
INC0010111,Incident,Card payments timing out across Limpopo stores,Payments & EFT,3,Closed,2025-10-14 18:19,2025-10-17 01:03,Payments Ops,Mpumalanga,EFT-Switch-33
PRB0004037,Problem,Negative SOH values appearing for 47 SKUs after nightly sync,Inventory & Stock Sync,3,Closed,2025-10-03 11:55,2025-10-07 14:32,Merch Systems,National / Online,Stock-Sync-Job-33
PRB0004038,Problem,Click-and-collect orders stuck in ALLOCATED for store W395,Order Fulfilment,3,Root Cause Analysis,2026-03-21 10:32,,Fulfilment Tech,Western Cape,OMS-Core-23
INC0010112,Incident,3-D Secure redirect loop on mobile web checkout,Online Checkout,2,Closed,2026-02-22 07:31,2026-02-23 08:54,Digital Commerce,Gauteng,Checkout-Service-28
CHG0007032,Change Request,Deploy fix for router config drift detected at store w124 after change,Store Network & Connectivity,3,Authorise,2025-10-01 19:18,,Network Ops,National / Online,Store-Router-03
INC0010113,Incident,Same-day delivery cutoff not enforced — late promises made,Order Fulfilment,4,Resolved,2026-01-18 20:22,2026-01-22 11:14,Fulfilment Tech,Western Cape,OMS-Core-05
INC0010114,Incident,Stock sync job overran window by 29 hours — online availability stale,Inventory & Stock Sync,3,Resolved,2025-08-16 17:39,2025-08-17 18:17,Merch Systems,Western Cape,Stock-Sync-Job-25
INC0010115,Incident,Barcode scanner intermittently not reading at store W235,POS & Tills,3,Resolved,2026-03-28 08:03,2026-03-29 11:27,Store Systems,KwaZulu-Natal,POS-Terminal-24
CHG0007033,Change Request,Emergency change: order ord-839599 split incorrectly across fulfilment nodes,Order Fulfilment,4,Implement,2026-04-06 15:37,,Fulfilment Tech,Eastern Cape,OMS-Core-13
CHG0007034,Change Request,Config change: duplicate vouchers issued to 34 members,WRewards Loyalty,3,Closed,2025-10-24 10:13,2025-10-26 02:25,Loyalty Platform,Northern Cape,Loyalty-API-07
INC0010116,Incident,EFT declines spiking at store W147 — response code 91,Payments & EFT,3,In Progress,2026-06-27 06:37,,Payments Ops,Free State,EFT-Switch-18
INC0010117,Incident,"Receipt printer failure on till 8, store W507",POS & Tills,3,Closed,2025-09-02 07:10,2025-09-06 12:13,Store Systems,KwaZulu-Natal,POS-Terminal-09
INC0010118,Incident,Card payments timing out across Mpumalanga stores,Payments & EFT,4,Closed,2025-08-10 10:11,2025-08-12 19:44,Payments Ops,Gauteng,EFT-Switch-15
INC0010119,Incident,Push notifications not delivered for order updates,Mobile App,1,Closed,2026-05-22 18:49,2026-05-23 03:40,Digital Commerce,Eastern Cape,Mobile-BFF-17
INC0010120,Incident,Stock sync job overran window by 2 hours — online availability stale,Inventory & Stock Sync,4,Closed,2026-06-05 10:07,2026-06-08 15:32,Merch Systems,National / Online,Stock-Sync-Job-18
PRB0004039,Problem,Brand attribute overwritten in bulk update — 5 SKUs affected,Product Master Data,4,Closed,2026-01-06 10:40,2026-01-09 20:02,Data Services,Western Cape,PIM-Hub-25
INC0010121,Incident,EFT declines spiking at store W491 — response code 91,Payments & EFT,3,On Hold,2026-01-09 14:06,,Payments Ops,Western Cape,EFT-Switch-37
INC0010122,Incident,"Tap-to-pay failing on new terminals, store W393",Payments & EFT,3,Closed,2026-03-06 17:33,2026-03-08 03:04,Payments Ops,Gauteng,EFT-Switch-15
INC0010123,Incident,"POS EOD batch stuck at store W461, trading day not closed",POS & Tills,2,Closed,2026-03-02 20:30,2026-03-03 18:08,Store Systems,Limpopo,POS-Terminal-38
INC0010124,Incident,Stock-on-hand not syncing to online for DC 6 range,Inventory & Stock Sync,3,Closed,2026-06-20 09:43,2026-06-20 18:17,Merch Systems,National / Online,Stock-Sync-Job-26
INC0010125,Incident,Invoice EDI mismatch blocking GRN for DC 5,Supply Chain EDI,4,Closed,2026-04-14 06:14,2026-04-18 02:53,Integration Hub,Western Cape,EDI-Gateway-06
INC0010126,Incident,"Receipt printer failure on till 13, store W275",POS & Tills,3,Resolved,2026-06-22 18:29,2026-06-24 22:02,Store Systems,North West,POS-Terminal-09
CHG0007035,Change Request,Config change: pos terminal offline — store w184 unable to trade on 41 lanes,POS & Tills,3,Implement,2026-06-01 19:50,,Store Systems,Eastern Cape,POS-Terminal-35
INC0010127,Incident,Brand attribute overwritten in bulk update — 35 SKUs affected,Product Master Data,3,Closed,2025-08-21 13:50,2025-08-23 20:24,Data Services,Free State,PIM-Hub-08
INC0010128,Incident,Card payments timing out across Western Cape stores,Payments & EFT,4,Closed,2025-09-09 16:52,2025-09-10 06:38,Payments Ops,Gauteng,EFT-Switch-37
INC0010129,Incident,"Primary link down at store W262, all cloud services impacted",Store Network & Connectivity,1,Resolved,2026-06-28 16:18,2026-06-28 17:51,Network Ops,Free State,Store-Router-24
INC0010130,Incident,Barcode scanner intermittently not reading at store W278,POS & Tills,3,Resolved,2025-10-13 14:54,2025-10-16 23:32,Store Systems,Gauteng,POS-Terminal-01
INC0010131,Incident,Courier manifest not generated for 17 orders,Order Fulfilment,2,Resolved,2025-08-07 20:49,2025-08-08 10:09,Fulfilment Tech,Western Cape,OMS-Core-05
INC0010132,Incident,AS2 certificate expiry caused vendor CapeMills channel outage,Supply Chain EDI,2,Resolved,2026-03-27 19:28,2026-03-28 22:19,Integration Hub,Limpopo,EDI-Gateway-20
CHG0007036,Change Request,Deploy fix for dual-message settlement mismatch for trading date 2026-05-27,Payments & EFT,3,Closed,2026-05-06 17:52,2026-05-07 07:14,Payments Ops,KwaZulu-Natal,EFT-Switch-26
PRB0004040,Problem,Till 6 frozen on tender screen at store W233,POS & Tills,3,Root Cause Analysis,2025-08-27 15:37,,Store Systems,Gauteng,POS-Terminal-04
INC0010133,Incident,Stock sync job overran window by 49 hours — online availability stale,Inventory & Stock Sync,4,Closed,2026-03-30 12:07,2026-04-02 21:30,Merch Systems,Gauteng,Stock-Sync-Job-33
INC0010134,Incident,Courier manifest not generated for 35 orders,Order Fulfilment,4,New,2026-06-19 18:44,,Fulfilment Tech,Gauteng,OMS-Core-15
CHG0007037,Change Request,"Patch release for pos eod batch stuck at store w164, trading day not closed",POS & Tills,4,Scheduled,2026-06-24 19:12,,Store Systems,Western Cape,POS-Terminal-01
CHG0007038,Change Request,"Deploy fix for promo price not applying at till for advertised line, store w548",Pricing & Promotions,4,Scheduled,2026-06-12 06:03,,Merch Systems,Gauteng,Promo-Engine-21
INC0010135,Incident,"Checkout stuck on ""processing payment"" — orders duplicated",Online Checkout,2,New,2026-01-08 15:38,,Digital Commerce,Free State,Checkout-Service-19
INC0010136,Incident,EFT declines spiking at store W517 — response code 91,Payments & EFT,3,Closed,2025-09-02 15:51,2025-09-04 12:08,Payments Ops,KwaZulu-Natal,EFT-Switch-08
PRB0004041,Problem,Picking app not releasing waves at DC 1,Order Fulfilment,3,Fix in Progress,2026-06-12 15:28,,Fulfilment Tech,Western Cape,OMS-Core-14
INC0010137,Incident,Gift card redemption declining with error ERR-269 at store W404,Gift Cards & Vouchers,4,Resolved,2026-03-30 10:17,2026-04-02 04:04,Payments Ops,Gauteng,GiftCard-Service-20
INC0010138,Incident,Same-day delivery cutoff not enforced — late promises made,Order Fulfilment,2,Closed,2025-09-22 20:38,2025-09-23 04:50,Fulfilment Tech,Eastern Cape,OMS-Core-23
CHG0007039,Change Request,Emergency change: till 3 frozen on tender screen at store w357,POS & Tills,3,Closed,2026-02-08 07:30,2026-02-09 07:22,Store Systems,KwaZulu-Natal,POS-Terminal-02
PRB0004042,Problem,Card payments timing out across Mpumalanga stores,Payments & EFT,3,Resolved,2025-10-11 09:13,2025-10-12 02:51,Payments Ops,Gauteng,EFT-Switch-36
INC0010139,Incident,New season SKUs missing attributes — 42 lines blocked from listing,Product Master Data,3,Closed,2026-04-16 18:20,2026-04-17 06:57,Data Services,National / Online,PIM-Hub-01
CHG0007040,Change Request,Patch release for images not loading on home screen — cdn 403s,Mobile App,3,Closed,2026-04-22 17:21,2026-04-25 08:09,Digital Commerce,Free State,Mobile-BFF-36
INC0010140,Incident,Voucher PRM-5509 redeemable multiple times — exposure risk,Gift Cards & Vouchers,4,Closed,2026-01-30 17:24,2026-01-31 20:50,Payments Ops,Limpopo,GiftCard-Service-09
PRB0004043,Problem,3-D Secure redirect loop on mobile web checkout,Online Checkout,3,New,2025-12-25 20:44,,Digital Commerce,KwaZulu-Natal,Checkout-Service-13
CHG0007041,Change Request,Emergency change: duplicate barcodes detected for 47 products,Product Master Data,1,Authorise,2026-05-13 16:26,,Data Services,KwaZulu-Natal,PIM-Hub-20
INC0010141,Incident,Dual-message settlement mismatch for trading date 2026-04-03,Payments & EFT,3,New,2025-12-16 08:47,,Payments Ops,Gauteng,EFT-Switch-07
INC0010142,Incident,"Receipt printer failure on till 7, store W503",POS & Tills,3,Resolved,2026-06-12 10:41,2026-06-14 03:26,Store Systems,Western Cape,POS-Terminal-25
INC0010143,Incident,Barcode scanner intermittently not reading at store W200,POS & Tills,3,Closed,2026-06-16 16:32,2026-06-20 16:20,Store Systems,Free State,POS-Terminal-20
PRB0004044,Problem,Courier manifest not generated for 26 orders,Order Fulfilment,4,Root Cause Analysis,2026-03-21 17:02,,Fulfilment Tech,Free State,OMS-Core-24
CHG0007042,Change Request,Emergency change: barcode scanner intermittently not reading at store w306,POS & Tills,4,Authorise,2026-06-26 12:17,,Store Systems,Western Cape,POS-Terminal-02
PRB0004045,Problem,EFT declines spiking at store W361 — response code 91,Payments & EFT,2,Closed,2026-04-27 06:10,2026-04-28 08:16,Payments Ops,KwaZulu-Natal,EFT-Switch-38
INC0010144,Incident,"Receipt printer failure on till 10, store W317",POS & Tills,2,On Hold,2025-11-06 20:45,,Store Systems,Limpopo,POS-Terminal-16
PRB0004046,Problem,Purchase order acknowledgements not reaching vendor HomewareHub,Supply Chain EDI,3,Closed,2026-01-14 10:25,2026-01-18 15:03,Integration Hub,Gauteng,EDI-Gateway-02
PRB0004047,Problem,Store W510 on 4G failover — degraded POS response,Store Network & Connectivity,3,Closed,2025-10-29 09:59,2025-10-29 20:20,Network Ops,Gauteng,Store-Router-14
CHG0007043,Change Request,Patch release for asn messages from vendor homewarehub failing schema validation,Supply Chain EDI,3,Implement,2026-05-17 12:33,,Integration Hub,National / Online,EDI-Gateway-17
INC0010145,Incident,Delivery slot selection failing for Limpopo customers,Online Checkout,1,Closed,2026-06-12 09:04,2026-06-12 17:46,Digital Commerce,Gauteng,Checkout-Service-29
PRB0004048,Problem,Gift card balance enquiry timing out online,Gift Cards & Vouchers,4,Resolved,2026-06-01 19:39,2026-06-03 01:43,Payments Ops,Western Cape,GiftCard-Service-08
CHG0007044,Change Request,Patch release for pos terminal offline — store w186 unable to trade on 25 lanes,POS & Tills,2,Assess,2025-10-13 18:38,,Store Systems,Western Cape,POS-Terminal-16
INC0010146,Incident,Basket total mismatch after promo applied at checkout,Online Checkout,3,Closed,2025-11-29 16:04,2025-12-01 20:17,Digital Commerce,Gauteng,Checkout-Service-28
INC0010147,Incident,Till 11 frozen on tender screen at store W553,POS & Tills,3,Resolved,2026-05-13 06:43,2026-05-14 15:02,Store Systems,KwaZulu-Natal,POS-Terminal-10
INC0010148,Incident,App login failing with error ERR-772 after release PRM-4209,Mobile App,3,Closed,2025-07-25 16:10,2025-07-26 18:09,Digital Commerce,National / Online,Mobile-BFF-07
PRB0004049,Problem,EDI 856 backlog of 32 messages at gateway,Supply Chain EDI,3,New,2026-01-24 10:10,,Integration Hub,National / Online,EDI-Gateway-01
INC0010149,Incident,Gift card balance enquiry timing out online,Gift Cards & Vouchers,3,In Progress,2026-06-17 13:29,,Payments Ops,National / Online,GiftCard-Service-29
INC0010150,Incident,Card payments timing out across KwaZulu-Natal stores,Payments & EFT,3,Closed,2025-08-20 11:58,2025-08-23 05:09,Payments Ops,Limpopo,EFT-Switch-31
INC0010151,Incident,Same-day delivery cutoff not enforced — late promises made,Order Fulfilment,4,On Hold,2025-10-14 16:36,,Fulfilment Tech,KwaZulu-Natal,OMS-Core-25
PRB0004050,Problem,POS terminal offline — store W349 unable to trade on 61 lanes,POS & Tills,4,Closed,2026-06-26 13:52,2026-06-28 03:08,Store Systems,KwaZulu-Natal,POS-Terminal-14
INC0010152,Incident,Courier manifest not generated for 21 orders,Order Fulfilment,2,Resolved,2026-06-10 13:06,2026-06-11 07:30,Fulfilment Tech,Western Cape,OMS-Core-08
INC0010153,Incident,Images not loading on home screen — CDN 403s,Mobile App,3,In Progress,2025-12-18 20:03,,Digital Commerce,Gauteng,Mobile-BFF-18
INC0010154,Incident,Voucher PRM-7769 redeemable multiple times — exposure risk,Gift Cards & Vouchers,3,In Progress,2026-01-07 11:14,,Payments Ops,KwaZulu-Natal,GiftCard-Service-09
INC0010155,Incident,"Receipt printer failure on till 2, store W288",POS & Tills,4,In Progress,2025-10-31 07:10,,Store Systems,Mpumalanga,POS-Terminal-36
CHG0007045,Change Request,Patch release for duplicate barcodes detected for 37 products,Product Master Data,3,Authorise,2025-09-11 12:33,,Data Services,Free State,PIM-Hub-07
INC0010156,Incident,Same-day delivery cutoff not enforced — late promises made,Order Fulfilment,4,Closed,2026-03-03 13:51,2026-03-04 23:18,Fulfilment Tech,Limpopo,OMS-Core-06
CHG0007046,Change Request,Deploy fix for unit-of-measure mismatch causing receiving failures at dc 7,Product Master Data,4,Closed,2026-01-01 06:18,2026-01-01 20:02,Data Services,KwaZulu-Natal,PIM-Hub-08
INC0010157,Incident,"Promo price not applying at till for advertised line, store W111",Pricing & Promotions,1,Closed,2026-04-11 09:58,2026-04-11 17:48,Merch Systems,Western Cape,Promo-Engine-26
INC0010158,Incident,Brand attribute overwritten in bulk update — 52 SKUs affected,Product Master Data,4,Resolved,2025-12-09 09:28,2025-12-11 12:12,Data Services,Gauteng,PIM-Hub-24
INC0010159,Incident,"Mismatch between shelf-edge label and till price, store W214",Pricing & Promotions,4,Closed,2025-11-11 12:50,2025-11-12 16:18,Merch Systems,Gauteng,Promo-Engine-03
INC0010160,Incident,Delivery slot selection failing for Western Cape customers,Online Checkout,4,Resolved,2026-02-02 17:34,2026-02-03 02:11,Digital Commerce,Eastern Cape,Checkout-Service-08
INC0010161,Incident,Gift card balance enquiry timing out online,Gift Cards & Vouchers,4,Closed,2026-03-16 15:53,2026-03-20 16:32,Payments Ops,Northern Cape,GiftCard-Service-08
CHG0007047,Change Request,Deploy fix for pos terminal offline — store w331 unable to trade on 54 lanes,POS & Tills,3,Assess,2026-05-31 07:36,,Store Systems,North West,POS-Terminal-15
INC0010162,Incident,Basket total mismatch after promo applied at checkout,Online Checkout,3,Closed,2026-04-08 13:14,2026-04-11 07:02,Digital Commerce,Limpopo,Checkout-Service-23
INC0010163,Incident,Same-day delivery cutoff not enforced — late promises made,Order Fulfilment,2,New,2025-11-01 09:12,,Fulfilment Tech,North West,OMS-Core-19
PRB0004051,Problem,"Mismatch between shelf-edge label and till price, store W395",Pricing & Promotions,3,Fix in Progress,2025-07-31 13:16,,Merch Systems,Western Cape,Promo-Engine-19
PRB0004052,Problem,EFT declines spiking at store W214 — response code 91,Payments & EFT,2,Closed,2026-01-16 10:59,2026-01-16 22:27,Payments Ops,Eastern Cape,EFT-Switch-13
INC0010164,Incident,POS terminal offline — store W410 unable to trade on 32 lanes,POS & Tills,3,Closed,2026-04-18 14:37,2026-04-20 03:39,Store Systems,Free State,POS-Terminal-28
INC0010165,Incident,"Voucher barcode not scanning at till, store W497",Gift Cards & Vouchers,3,Closed,2026-05-23 13:44,2026-05-25 21:39,Payments Ops,KwaZulu-Natal,GiftCard-Service-05
PRB0004053,Problem,ASN messages from vendor FreshCo failing schema validation,Supply Chain EDI,1,Root Cause Analysis,2026-04-21 10:22,,Integration Hub,KwaZulu-Natal,EDI-Gateway-07
INC0010166,Incident,Stock sync job overran window by 18 hours — online availability stale,Inventory & Stock Sync,4,Resolved,2025-07-05 20:52,2025-07-08 06:33,Merch Systems,National / Online,Stock-Sync-Job-08
CHG0007048,Change Request,Deploy fix for eft declines spiking at store w125 — response code 91,Payments & EFT,3,Closed,2026-06-03 09:49,2026-06-05 13:47,Payments Ops,Western Cape,EFT-Switch-39
PRB0004054,Problem,Bank switch latency above 8s causing tender timeouts,Payments & EFT,2,Fix in Progress,2026-01-03 18:05,,Payments Ops,Gauteng,EFT-Switch-04
CHG0007049,Change Request,Deploy fix for till 6 frozen on tender screen at store w357,POS & Tills,3,Implement,2026-04-24 16:10,,Store Systems,Western Cape,POS-Terminal-34
INC0010167,Incident,Click-and-collect orders stuck in ALLOCATED for store W532,Order Fulfilment,3,On Hold,2026-06-29 18:30,,Fulfilment Tech,Gauteng,OMS-Core-17
INC0010168,Incident,Negative SOH values appearing for 53 SKUs after nightly sync,Inventory & Stock Sync,2,Resolved,2026-06-15 08:59,2026-06-15 18:51,Merch Systems,Free State,Stock-Sync-Job-33
INC0010169,Incident,Bank switch latency above 8s causing tender timeouts,Payments & EFT,3,Closed,2025-10-31 10:39,2025-10-31 16:45,Payments Ops,Gauteng,EFT-Switch-28
PRB0004055,Problem,"Tap-to-pay failing on new terminals, store W556",Payments & EFT,3,Closed,2026-04-17 13:53,2026-04-20 05:59,Payments Ops,Western Cape,EFT-Switch-22
PRB0004056,Problem,"Receipt printer failure on till 2, store W320",POS & Tills,2,Fix in Progress,2025-08-20 16:14,,Store Systems,National / Online,POS-Terminal-15
INC0010170,Incident,Till 8 frozen on tender screen at store W124,POS & Tills,3,Closed,2025-08-26 09:48,2025-08-29 05:34,Store Systems,Gauteng,POS-Terminal-11
INC0010171,Incident,Dual-message settlement mismatch for trading date 2026-04-09,Payments & EFT,2,Closed,2026-02-08 16:34,2026-02-09 18:27,Payments Ops,National / Online,EFT-Switch-14
INC0010172,Incident,Bank switch latency above 8s causing tender timeouts,Payments & EFT,3,On Hold,2025-12-02 06:26,,Payments Ops,KwaZulu-Natal,EFT-Switch-22
CHG0007050,Change Request,Emergency change: cycle-count variance file rejected for store w312,Inventory & Stock Sync,3,Authorise,2026-02-04 16:31,,Merch Systems,Western Cape,Stock-Sync-Job-39
INC0010173,Incident,High packet loss to data centre from North West stores,Store Network & Connectivity,4,In Progress,2026-06-10 09:11,,Network Ops,Mpumalanga,Store-Router-28
INC0010174,Incident,Bank switch latency above 8s causing tender timeouts,Payments & EFT,3,Resolved,2025-10-23 15:44,2025-10-26 21:52,Payments Ops,Free State,EFT-Switch-23
PRB0004057,Problem,Store W565 on 4G failover — degraded POS response,Store Network & Connectivity,3,Fix in Progress,2026-06-10 07:41,,Network Ops,KwaZulu-Natal,Store-Router-19
CHG0007051,Change Request,Config change: order ord-784941 split incorrectly across fulfilment nodes,Order Fulfilment,3,Closed,2026-04-17 14:05,2026-04-20 19:30,Fulfilment Tech,Western Cape,OMS-Core-14
INC0010175,Incident,"Receipt printer failure on till 4, store W209",POS & Tills,3,Closed,2026-03-07 11:42,2026-03-07 20:23,Store Systems,KwaZulu-Natal,POS-Terminal-04
INC0010176,Incident,Cycle-count variance file rejected for store W334,Inventory & Stock Sync,2,Closed,2026-05-03 12:19,2026-05-03 22:31,Merch Systems,KwaZulu-Natal,Stock-Sync-Job-18
INC0010177,Incident,High packet loss to data centre from North West stores,Store Network & Connectivity,2,In Progress,2026-03-24 15:17,,Network Ops,Gauteng,Store-Router-35
INC0010178,Incident,Bank switch latency above 8s causing tender timeouts,Payments & EFT,2,Resolved,2026-05-06 12:34,2026-05-07 04:47,Payments Ops,Gauteng,EFT-Switch-40
CHG0007052,Change Request,Patch release for 3-d secure redirect loop on mobile web checkout,Online Checkout,3,Implement,2025-08-24 15:44,,Digital Commerce,Western Cape,Checkout-Service-10
INC0010179,Incident,POS terminal offline — store W440 unable to trade on 27 lanes,POS & Tills,3,Closed,2026-06-29 07:51,2026-07-01 22:26,Store Systems,KwaZulu-Natal,POS-Terminal-40
INC0010180,Incident,POS terminal offline — store W468 unable to trade on 13 lanes,POS & Tills,2,Closed,2026-02-08 20:41,2026-02-09 16:15,Store Systems,Western Cape,POS-Terminal-27
PRB0004058,Problem,Gift card balance enquiry timing out online,Gift Cards & Vouchers,2,Closed,2025-10-08 20:34,2025-10-09 01:35,Payments Ops,Gauteng,GiftCard-Service-39
PRB0004059,Problem,WRewards linking failing in app with error ERR-842,WRewards Loyalty,3,Fix in Progress,2026-06-18 11:17,,Loyalty Platform,Gauteng,Loyalty-API-38
INC0010181,Incident,Router config drift detected at store W449 after change,Store Network & Connectivity,3,Closed,2026-05-31 15:42,2026-05-31 23:53,Network Ops,KwaZulu-Natal,Store-Router-10
INC0010182,Incident,EFT declines spiking at store W279 — response code 91,Payments & EFT,4,Closed,2025-11-16 20:06,2025-11-18 22:08,Payments Ops,National / Online,EFT-Switch-36
PRB0004060,Problem,Courier manifest not generated for 4 orders,Order Fulfilment,2,Closed,2025-12-24 07:53,2025-12-25 02:32,Fulfilment Tech,Western Cape,OMS-Core-28
PRB0004061,Problem,Delivery slot selection failing for KwaZulu-Natal customers,Online Checkout,3,Fix in Progress,2026-05-07 20:14,,Digital Commerce,North West,Checkout-Service-18
INC0010183,Incident,App crash on product page for Android 44% of sessions,Mobile App,4,Closed,2025-07-27 19:49,2025-07-29 15:34,Digital Commerce,North West,Mobile-BFF-17
INC0010184,Incident,3-D Secure redirect loop on mobile web checkout,Online Checkout,3,Resolved,2025-09-10 11:25,2025-09-13 15:25,Digital Commerce,Limpopo,Checkout-Service-20
INC0010185,Incident,Duplicate vouchers issued to 56 members,WRewards Loyalty,3,Closed,2026-06-18 17:05,2026-06-20 17:11,Loyalty Platform,Western Cape,Loyalty-API-11
INC0010186,Incident,Duplicate barcodes detected for 29 products,Product Master Data,3,Resolved,2025-07-21 18:56,2025-07-24 17:26,Data Services,Western Cape,PIM-Hub-22
PRB0004062,Problem,Delivery slot selection failing for Eastern Cape customers,Online Checkout,3,New,2026-03-05 12:38,,Digital Commerce,Eastern Cape,Checkout-Service-05
PRB0004063,Problem,Same-day delivery cutoff not enforced — late promises made,Order Fulfilment,2,New,2026-06-19 18:53,,Fulfilment Tech,KwaZulu-Natal,OMS-Core-32
INC0010187,Incident,Duplicate vouchers issued to 56 members,WRewards Loyalty,3,Closed,2025-08-25 12:25,2025-08-28 11:41,Loyalty Platform,Western Cape,Loyalty-API-25
CHG0007053,Change Request,Deploy fix for delivery slot selection failing for mpumalanga customers,Online Checkout,4,Implement,2026-05-24 19:25,,Digital Commerce,Gauteng,Checkout-Service-08
INC0010188,Incident,EDI 856 backlog of 14 messages at gateway,Supply Chain EDI,1,Closed,2025-07-10 13:36,2025-07-10 17:16,Integration Hub,National / Online,EDI-Gateway-20
CHG0007054,Change Request,Patch release for picking app not releasing waves at dc 14,Order Fulfilment,4,Closed,2026-01-18 08:45,2026-01-21 01:37,Fulfilment Tech,Eastern Cape,OMS-Core-30
INC0010189,Incident,Stock-on-hand not syncing to online for DC 1 range,Inventory & Stock Sync,3,Closed,2025-07-30 12:04,2025-07-30 20:29,Merch Systems,Mpumalanga,Stock-Sync-Job-39
INC0010190,Incident,"Receipt printer failure on till 4, store W459",POS & Tills,4,In Progress,2025-07-04 16:27,,Store Systems,Gauteng,POS-Terminal-40
CHG0007055,Change Request,Patch release for wrewards points not awarded on qualifying basket,WRewards Loyalty,3,Authorise,2026-05-27 09:12,,Loyalty Platform,Gauteng,Loyalty-API-11
INC0010191,Incident,App crash on product page for Android 23% of sessions,Mobile App,2,Resolved,2026-03-24 06:05,2026-03-25 01:45,Digital Commerce,Gauteng,Mobile-BFF-24
