key,summary,category,priority,status,created,resolved,team,region,labels
RET-1167,Purchase order acknowledgements not reaching vendor FreshCo,Supply Chain EDI,P3,Open,2025-10-20 12:55,,Integration Hub,Western Cape,supply-chain-edi
RET-1168,Store W479 receiving not reflecting in inventory ledger,Inventory & Stock Sync,P1,Closed,2026-02-20 07:40,2026-02-20 10:10,Merch Systems,Eastern Cape,inventory-stock-sync
RET-1169,Barcode scanner intermittently not reading at store W364,POS & Tills,P3,Closed,2026-06-17 20:46,2026-06-22 15:19,Store Systems,National / Online,pos-tills
RET-1170,Duplicate vouchers issued to 17 members,WRewards Loyalty,P4,Resolved,2026-01-03 09:26,2026-01-07 00:19,Loyalty Platform,Gauteng,wrewards-loyalty
RET-1171,Delivery slot selection failing for Northern Cape customers,Online Checkout,P3,Closed,2026-01-25 09:43,2026-01-26 22:48,Digital Commerce,National / Online,online-checkout
RET-1172,"Mismatch between shelf-edge label and till price, store W576",Pricing & Promotions,P3,In Progress,2026-06-29 07:09,,Merch Systems,Gauteng,pricing-promotions
RET-1173,"Checkout stuck on ""processing payment"" — orders duplicated",Online Checkout,P4,Closed,2025-08-24 18:02,2025-08-27 02:26,Digital Commerce,National / Online,online-checkout
RET-1174,AS2 certificate expiry caused vendor TextilePro channel outage,Supply Chain EDI,P1,Open,2026-02-07 19:40,,Integration Hub,Gauteng,supply-chain-edi
RET-1175,Dual-message settlement mismatch for trading date 2026-01-12,Payments & EFT,P1,Closed,2026-04-29 12:28,2026-04-29 15:09,Payments Ops,Limpopo,payments-eft
RET-1176,Order ORD-146194 split incorrectly across fulfilment nodes,Order Fulfilment,P4,Closed,2026-06-30 17:43,2026-07-04 12:32,Fulfilment Tech,Western Cape,order-fulfilment
RET-1177,Store W524 receiving not reflecting in inventory ledger,Inventory & Stock Sync,P3,Closed,2026-06-08 20:19,2026-06-11 04:13,Merch Systems,Western Cape,inventory-stock-sync
RET-1178,New season SKUs missing attributes — 39 lines blocked from listing,Product Master Data,P4,Resolved,2026-04-14 20:18,2026-04-19 08:03,Data Services,KwaZulu-Natal,product-master-data
RET-1179,Purchase order acknowledgements not reaching vendor AgriSupply,Supply Chain EDI,P4,Closed,2025-11-13 15:42,2025-11-15 23:17,Integration Hub,Western Cape,supply-chain-edi
RET-1180,Invoice EDI mismatch blocking GRN for DC 7,Supply Chain EDI,P2,Closed,2026-05-05 06:52,2026-05-06 12:39,Integration Hub,Limpopo,supply-chain-edi
RET-1181,AS2 certificate expiry caused vendor AgriSupply channel outage,Supply Chain EDI,P3,Closed,2026-06-22 10:44,2026-06-23 00:15,Integration Hub,National / Online,supply-chain-edi
RET-1182,Wi-Fi outage in backup area of store W117 — RF guns offline,Store Network & Connectivity,P3,Resolved,2026-01-21 11:10,2026-01-22 19:01,Network Ops,KwaZulu-Natal,store-network-connectivity
RET-1183,Invoice EDI mismatch blocking GRN for DC 10,Supply Chain EDI,P2,Resolved,2025-07-19 07:32,2025-07-19 22:02,Integration Hub,Gauteng,supply-chain-edi
RET-1184,Wi-Fi outage in backup area of store W560 — RF guns offline,Store Network & Connectivity,P2,Blocked,2025-11-08 14:49,,Network Ops,KwaZulu-Natal,store-network-connectivity
RET-1185,Barcode scanner intermittently not reading at store W277,POS & Tills,P3,Closed,2026-02-06 18:17,2026-02-10 15:29,Store Systems,National / Online,pos-tills
RET-1186,EFT declines spiking at store W459 — response code 91,Payments & EFT,P2,Resolved,2026-03-20 14:23,2026-03-21 10:39,Payments Ops,Free State,payments-eft
RET-1187,"Tap-to-pay failing on new terminals, store W149",Payments & EFT,P4,Open,2026-02-16 12:00,,Payments Ops,Limpopo,payments-eft
RET-1188,"Receipt printer failure on till 1, store W292",POS & Tills,P3,Resolved,2026-02-23 13:32,2026-02-26 02:33,Store Systems,KwaZulu-Natal,pos-tills
RET-1189,Barcode scanner intermittently not reading at store W213,POS & Tills,P3,Open,2026-06-16 07:51,,Store Systems,Mpumalanga,pos-tills
RET-1190,"Promo price not applying at till for advertised line, store W531",Pricing & Promotions,P4,In Progress,2025-07-27 20:07,,Merch Systems,Eastern Cape,pricing-promotions
RET-1191,ASN messages from vendor AgriSupply failing schema validation,Supply Chain EDI,P2,In Progress,2026-01-14 18:11,,Integration Hub,Eastern Cape,supply-chain-edi
RET-1192,Bank switch latency above 8s causing tender timeouts,Payments & EFT,P2,Closed,2026-01-22 13:48,2026-01-23 06:47,Payments Ops,Western Cape,payments-eft
RET-1193,Markdown batch stuck — clearance prices not live,Pricing & Promotions,P4,In Progress,2025-09-30 11:45,,Merch Systems,Gauteng,pricing-promotions
RET-1194,Dual-message settlement mismatch for trading date 2026-02-18,Payments & EFT,P3,Closed,2025-10-05 12:32,2025-10-07 16:34,Payments Ops,Limpopo,payments-eft
RET-1195,Negative SOH values appearing for 9 SKUs after nightly sync,Inventory & Stock Sync,P3,Closed,2025-09-22 10:01,2025-09-26 06:17,Merch Systems,Gauteng,inventory-stock-sync
RET-1196,Wi-Fi outage in backup area of store W103 — RF guns offline,Store Network & Connectivity,P4,Open,2025-11-06 15:51,,Network Ops,Free State,store-network-connectivity
RET-1197,Cycle-count variance file rejected for store W446,Inventory & Stock Sync,P3,Open,2026-03-29 09:27,,Merch Systems,North West,inventory-stock-sync
RET-1198,Promotion PRM-8775 double-discounting online,Pricing & Promotions,P3,Closed,2026-02-04 09:08,2026-02-09 15:42,Merch Systems,Western Cape,pricing-promotions
RET-1199,"Checkout stuck on ""processing payment"" — orders duplicated",Online Checkout,P2,Blocked,2026-05-08 11:57,,Digital Commerce,Gauteng,online-checkout
RET-1200,Checkout payment step returning 502 for 27% of sessions,Online Checkout,P2,Closed,2026-02-10 15:31,2026-02-11 02:03,Digital Commerce,Gauteng,online-checkout
RET-1201,"POS EOD batch stuck at store W273, trading day not closed",POS & Tills,P3,Closed,2026-04-24 16:13,2026-04-29 18:28,Store Systems,Western Cape,pos-tills
RET-1202,Cycle-count variance file rejected for store W179,Inventory & Stock Sync,P1,Resolved,2026-01-04 09:57,2026-01-04 13:47,Merch Systems,Eastern Cape,inventory-stock-sync
RET-1203,"Mismatch between shelf-edge label and till price, store W489",Pricing & Promotions,P1,Closed,2026-02-05 16:50,2026-02-05 23:04,Merch Systems,Western Cape,pricing-promotions
RET-1204,Store W414 receiving not reflecting in inventory ledger,Inventory & Stock Sync,P4,Closed,2026-01-03 13:29,2026-01-08 21:13,Merch Systems,North West,inventory-stock-sync
RET-1205,Gift card balance enquiry timing out online,Gift Cards & Vouchers,P3,Resolved,2025-11-25 20:08,2025-11-30 01:34,Payments Ops,KwaZulu-Natal,gift-cards-vouchers
RET-1206,Invoice EDI mismatch blocking GRN for DC 2,Supply Chain EDI,P4,In Progress,2026-02-22 15:44,,Integration Hub,Western Cape,supply-chain-edi
RET-1207,"Checkout stuck on ""processing payment"" — orders duplicated",Online Checkout,P3,Closed,2026-04-22 18:15,2026-04-24 03:56,Digital Commerce,Limpopo,online-checkout
RET-1208,Bank switch latency above 8s causing tender timeouts,Payments & EFT,P2,Blocked,2026-04-30 16:30,,Payments Ops,Gauteng,payments-eft
RET-1209,Dual-message settlement mismatch for trading date 2026-06-13,Payments & EFT,P4,Closed,2025-08-03 18:15,2025-08-04 07:07,Payments Ops,Western Cape,payments-eft
RET-1210,"Primary link down at store W314, all cloud services impacted",Store Network & Connectivity,P3,Resolved,2025-07-08 16:43,2025-07-11 06:04,Network Ops,Western Cape,store-network-connectivity
RET-1211,Picking app not releasing waves at DC 6,Order Fulfilment,P3,Closed,2025-12-19 08:59,2025-12-20 19:31,Fulfilment Tech,Gauteng,order-fulfilment
RET-1212,Dual-message settlement mismatch for trading date 2026-05-18,Payments & EFT,P4,In Progress,2026-02-23 11:07,,Payments Ops,National / Online,payments-eft
RET-1213,"Receipt printer failure on till 16, store W417",POS & Tills,P3,Closed,2026-01-25 15:55,2026-01-30 20:40,Store Systems,Western Cape,pos-tills
RET-1214,Stock sync job overran window by 23 hours — online availability stale,Inventory & Stock Sync,P4,Resolved,2026-06-29 10:10,2026-06-30 13:51,Merch Systems,Western Cape,inventory-stock-sync
RET-1215,"Receipt printer failure on till 17, store W276",POS & Tills,P3,Closed,2025-11-11 18:04,2025-11-12 21:59,Store Systems,Western Cape,pos-tills
RET-1216,Tier recalculation job failed — member benefits downgraded,WRewards Loyalty,P4,Closed,2026-06-15 11:41,2026-06-17 08:30,Loyalty Platform,Free State,wrewards-loyalty
RET-1217,Delivery slot selection failing for Limpopo customers,Online Checkout,P4,Resolved,2025-10-22 09:03,2025-10-23 02:19,Digital Commerce,National / Online,online-checkout
RET-1218,Card payments timing out across Limpopo stores,Payments & EFT,P4,Closed,2025-09-07 07:36,2025-09-08 17:07,Payments Ops,Western Cape,payments-eft
RET-1219,"Promo price not applying at till for advertised line, store W264",Pricing & Promotions,P3,Open,2026-05-16 08:21,,Merch Systems,National / Online,pricing-promotions
RET-1220,Delivery slot selection failing for Eastern Cape customers,Online Checkout,P2,In Progress,2026-02-04 17:12,,Digital Commerce,National / Online,online-checkout
RET-1221,Markdown batch stuck — clearance prices not live,Pricing & Promotions,P4,Blocked,2025-11-08 07:33,,Merch Systems,Gauteng,pricing-promotions
RET-1222,"Tap-to-pay failing on new terminals, store W316",Payments & EFT,P4,Closed,2025-10-08 09:41,2025-10-09 07:11,Payments Ops,National / Online,payments-eft
RET-1223,Purchase order acknowledgements not reaching vendor HomewareHub,Supply Chain EDI,P2,Resolved,2025-09-05 15:50,2025-09-06 09:50,Integration Hub,Gauteng,supply-chain-edi
RET-1224,Markdown batch stuck — clearance prices not live,Pricing & Promotions,P3,Resolved,2026-01-14 16:49,2026-01-17 03:41,Merch Systems,North West,pricing-promotions
RET-1225,Till 6 frozen on tender screen at store W494,POS & Tills,P2,Open,2025-11-10 12:15,,Store Systems,Gauteng,pos-tills
RET-1226,EDI 856 backlog of 27 messages at gateway,Supply Chain EDI,P4,Closed,2025-12-22 12:51,2025-12-26 06:33,Integration Hub,Eastern Cape,supply-chain-edi
RET-1227,Tier recalculation job failed — member benefits downgraded,WRewards Loyalty,P2,In Progress,2025-12-15 18:44,,Loyalty Platform,North West,wrewards-loyalty
RET-1228,App login failing with error ERR-939 after release PRM-8937,Mobile App,P2,Closed,2026-04-02 11:48,2026-04-02 17:52,Digital Commerce,Mpumalanga,mobile-app
RET-1229,WRewards linking failing in app with error ERR-732,WRewards Loyalty,P4,Closed,2025-07-07 16:31,2025-07-08 23:01,Loyalty Platform,North West,wrewards-loyalty
RET-1230,Till 11 frozen on tender screen at store W183,POS & Tills,P3,Resolved,2025-11-26 10:06,2025-11-30 14:44,Store Systems,Western Cape,pos-tills
RET-1231,Courier manifest not generated for 18 orders,Order Fulfilment,P3,Open,2025-10-30 09:22,,Fulfilment Tech,Gauteng,order-fulfilment
RET-1232,Cycle-count variance file rejected for store W577,Inventory & Stock Sync,P2,In Progress,2025-12-18 14:48,,Merch Systems,Northern Cape,inventory-stock-sync
RET-1233,EDI 856 backlog of 54 messages at gateway,Supply Chain EDI,P3,In Progress,2026-05-08 16:46,,Integration Hub,Western Cape,supply-chain-edi
RET-1234,"Promo price not applying at till for advertised line, store W521",Pricing & Promotions,P1,Blocked,2025-12-28 12:47,,Merch Systems,Free State,pricing-promotions
RET-1235,Till 14 frozen on tender screen at store W289,POS & Tills,P4,Closed,2025-11-19 19:45,2025-11-22 09:44,Store Systems,Free State,pos-tills
RET-1236,Wi-Fi outage in backup area of store W294 — RF guns offline,Store Network & Connectivity,P3,Resolved,2026-06-10 20:58,2026-06-15 08:12,Network Ops,Northern Cape,store-network-connectivity
RET-1237,Tier recalculation job failed — member benefits downgraded,WRewards Loyalty,P4,In Progress,2025-10-18 16:10,,Loyalty Platform,National / Online,wrewards-loyalty
RET-1238,Same-day delivery cutoff not enforced — late promises made,Order Fulfilment,P4,Resolved,2026-05-14 18:45,2026-05-20 00:33,Fulfilment Tech,Gauteng,order-fulfilment
RET-1239,POS terminal offline — store W544 unable to trade on 56 lanes,POS & Tills,P1,Open,2026-04-12 19:18,,Store Systems,Western Cape,pos-tills
RET-1240,"Checkout stuck on ""processing payment"" — orders duplicated",Online Checkout,P2,Resolved,2026-06-01 08:28,2026-06-01 20:08,Digital Commerce,National / Online,online-checkout
RET-1241,WRewards points not awarded on qualifying basket,WRewards Loyalty,P3,Closed,2026-02-22 19:53,2026-02-26 07:14,Loyalty Platform,Gauteng,wrewards-loyalty
RET-1242,Price file failed to deploy to 24 stores overnight,Pricing & Promotions,P2,Resolved,2026-03-12 08:35,2026-03-13 14:20,Merch Systems,Gauteng,pricing-promotions
RET-1243,"Checkout stuck on ""processing payment"" — orders duplicated",Online Checkout,P2,Closed,2025-09-20 19:08,2025-09-21 22:39,Digital Commerce,National / Online,online-checkout
RET-1244,Delivery slot selection failing for North West customers,Online Checkout,P3,Resolved,2026-02-21 20:46,2026-02-25 15:13,Digital Commerce,Eastern Cape,online-checkout
RET-1245,Stock-on-hand not syncing to online for DC 12 range,Inventory & Stock Sync,P3,Closed,2025-07-02 17:23,2025-07-05 04:23,Merch Systems,KwaZulu-Natal,inventory-stock-sync
RET-1246,Till 6 frozen on tender screen at store W184,POS & Tills,P2,Blocked,2025-09-10 18:54,,Store Systems,Western Cape,pos-tills
RET-1247,Markdown batch stuck — clearance prices not live,Pricing & Promotions,P3,Resolved,2026-06-27 20:02,2026-07-01 17:32,Merch Systems,Western Cape,pricing-promotions
RET-1248,Same-day delivery cutoff not enforced — late promises made,Order Fulfilment,P4,Open,2025-08-03 16:06,,Fulfilment Tech,Gauteng,order-fulfilment
RET-1249,Tier recalculation job failed — member benefits downgraded,WRewards Loyalty,P2,Blocked,2025-09-12 18:07,,Loyalty Platform,KwaZulu-Natal,wrewards-loyalty
RET-1250,Images not loading on home screen — CDN 403s,Mobile App,P2,Resolved,2025-08-28 09:14,2025-08-29 16:49,Digital Commerce,Gauteng,mobile-app
RET-1251,Stock sync job overran window by 32 hours — online availability stale,Inventory & Stock Sync,P3,Resolved,2026-03-29 20:52,2026-04-03 00:26,Merch Systems,Limpopo,inventory-stock-sync
RET-1252,"POS EOD batch stuck at store W134, trading day not closed",POS & Tills,P3,In Progress,2026-06-14 07:05,,Store Systems,National / Online,pos-tills
RET-1253,Barcode scanner intermittently not reading at store W446,POS & Tills,P4,Closed,2026-06-27 15:52,2026-06-29 03:59,Store Systems,Free State,pos-tills
RET-1254,"Checkout stuck on ""processing payment"" — orders duplicated",Online Checkout,P1,Closed,2025-09-08 09:52,2025-09-08 18:01,Digital Commerce,Gauteng,online-checkout
RET-1255,Price file failed to deploy to 15 stores overnight,Pricing & Promotions,P4,Open,2026-02-15 14:11,,Merch Systems,Western Cape,pricing-promotions
RET-1256,App checkout button unresponsive on iOS 43,Mobile App,P1,Resolved,2026-01-04 06:47,2026-01-04 14:07,Digital Commerce,KwaZulu-Natal,mobile-app
RET-1257,Voucher PRM-3358 redeemable multiple times — exposure risk,Gift Cards & Vouchers,P3,Resolved,2025-10-01 11:31,2025-10-03 03:46,Payments Ops,Gauteng,gift-cards-vouchers
RET-1258,Voucher PRM-7192 redeemable multiple times — exposure risk,Gift Cards & Vouchers,P4,Closed,2026-04-09 16:18,2026-04-11 14:54,Payments Ops,Western Cape,gift-cards-vouchers
RET-1259,"Checkout stuck on ""processing payment"" — orders duplicated",Online Checkout,P4,Resolved,2025-07-05 06:24,2025-07-09 16:30,Digital Commerce,Gauteng,online-checkout
RET-1260,Images not loading on home screen — CDN 403s,Mobile App,P2,In Progress,2025-11-09 08:59,,Digital Commerce,National / Online,mobile-app
RET-1261,Stock sync job overran window by 12 hours — online availability stale,Inventory & Stock Sync,P4,Closed,2025-09-01 16:47,2025-09-05 14:56,Merch Systems,KwaZulu-Natal,inventory-stock-sync
RET-1262,Order ORD-148831 split incorrectly across fulfilment nodes,Order Fulfilment,P3,Closed,2026-03-14 15:42,2026-03-19 04:08,Fulfilment Tech,Northern Cape,order-fulfilment
RET-1263,POS terminal offline — store W358 unable to trade on 46 lanes,POS & Tills,P1,Open,2025-10-17 07:16,,Store Systems,Gauteng,pos-tills
RET-1264,AS2 certificate expiry caused vendor DairyDirect channel outage,Supply Chain EDI,P3,Resolved,2025-09-11 06:31,2025-09-12 17:46,Integration Hub,KwaZulu-Natal,supply-chain-edi
RET-1265,Store W409 receiving not reflecting in inventory ledger,Inventory & Stock Sync,P2,In Progress,2025-12-27 13:48,,Merch Systems,KwaZulu-Natal,inventory-stock-sync
RET-1266,EFT declines spiking at store W222 — response code 91,Payments & EFT,P3,Blocked,2026-06-21 10:23,,Payments Ops,Gauteng,payments-eft
RET-1267,Same-day delivery cutoff not enforced — late promises made,Order Fulfilment,P4,Closed,2025-09-05 07:12,2025-09-10 07:43,Fulfilment Tech,National / Online,order-fulfilment
RET-1268,Delivery slot selection failing for Eastern Cape customers,Online Checkout,P3,Open,2026-02-20 08:50,,Digital Commerce,National / Online,online-checkout
RET-1269,"POS EOD batch stuck at store W194, trading day not closed",POS & Tills,P4,Closed,2026-04-01 08:58,2026-04-04 18:00,Store Systems,KwaZulu-Natal,pos-tills
RET-1270,Dual-message settlement mismatch for trading date 2026-04-25,Payments & EFT,P2,Open,2026-06-21 06:48,,Payments Ops,Eastern Cape,payments-eft
RET-1271,App crash on product page for Android 54% of sessions,Mobile App,P3,Closed,2025-12-02 06:38,2025-12-05 21:57,Digital Commerce,KwaZulu-Natal,mobile-app
RET-1272,"Receipt printer failure on till 11, store W323",POS & Tills,P4,Closed,2026-06-18 19:46,2026-06-23 13:11,Store Systems,KwaZulu-Natal,pos-tills
RET-1273,"POS EOD batch stuck at store W455, trading day not closed",POS & Tills,P2,Resolved,2026-01-10 18:06,2026-01-12 02:05,Store Systems,Western Cape,pos-tills
RET-1274,Price file failed to deploy to 59 stores overnight,Pricing & Promotions,P2,Closed,2025-11-07 12:06,2025-11-08 08:12,Merch Systems,Mpumalanga,pricing-promotions
RET-1275,Price file failed to deploy to 33 stores overnight,Pricing & Promotions,P4,Closed,2026-01-06 09:16,2026-01-10 04:28,Merch Systems,Gauteng,pricing-promotions
RET-1276,Basket total mismatch after promo applied at checkout,Online Checkout,P3,Closed,2026-04-02 17:09,2026-04-04 03:30,Digital Commerce,Western Cape,online-checkout
RET-1277,Bulk corporate gift card load failed for 43 cards,Gift Cards & Vouchers,P3,Closed,2025-10-06 19:15,2025-10-09 12:14,Payments Ops,Western Cape,gift-cards-vouchers
RET-1278,Picking app not releasing waves at DC 14,Order Fulfilment,P3,Closed,2026-01-28 13:33,2026-01-31 01:29,Fulfilment Tech,National / Online,order-fulfilment
RET-1279,WRewards linking failing in app with error ERR-514,WRewards Loyalty,P3,Closed,2026-06-30 06:27,2026-06-30 20:15,Loyalty Platform,Eastern Cape,wrewards-loyalty
RET-1280,Gift card balance enquiry timing out online,Gift Cards & Vouchers,P1,Open,2026-01-31 14:43,,Payments Ops,National / Online,gift-cards-vouchers
RET-1281,"POS EOD batch stuck at store W215, trading day not closed",POS & Tills,P4,Open,2025-08-13 13:36,,Store Systems,Western Cape,pos-tills
RET-1282,"Promo price not applying at till for advertised line, store W433",Pricing & Promotions,P4,Resolved,2025-07-21 08:15,2025-07-25 03:31,Merch Systems,National / Online,pricing-promotions
RET-1283,Courier manifest not generated for 35 orders,Order Fulfilment,P4,Closed,2026-05-23 17:40,2026-05-24 16:00,Fulfilment Tech,KwaZulu-Natal,order-fulfilment
RET-1284,"Tap-to-pay failing on new terminals, store W183",Payments & EFT,P3,Resolved,2025-11-23 08:02,2025-11-24 06:50,Payments Ops,Northern Cape,payments-eft
RET-1285,Stock-on-hand not syncing to online for DC 2 range,Inventory & Stock Sync,P3,Closed,2026-01-06 20:26,2026-01-10 07:05,Merch Systems,Gauteng,inventory-stock-sync
RET-1286,Checkout payment step returning 502 for 60% of sessions,Online Checkout,P3,Closed,2025-11-19 17:18,2025-11-20 08:10,Digital Commerce,Western Cape,online-checkout
RET-1287,"Promo price not applying at till for advertised line, store W542",Pricing & Promotions,P3,Closed,2026-05-26 07:06,2026-05-27 21:47,Merch Systems,Western Cape,pricing-promotions
RET-1288,WRewards linking failing in app with error ERR-509,WRewards Loyalty,P4,Resolved,2026-05-28 19:32,2026-05-29 18:43,Loyalty Platform,Mpumalanga,wrewards-loyalty
RET-1289,Gift card balance enquiry timing out online,Gift Cards & Vouchers,P3,Resolved,2026-04-01 06:53,2026-04-05 01:08,Payments Ops,Limpopo,gift-cards-vouchers
RET-1290,3-D Secure redirect loop on mobile web checkout,Online Checkout,P2,Closed,2026-01-05 18:10,2026-01-06 03:17,Digital Commerce,Limpopo,online-checkout
RET-1291,Bank switch latency above 8s causing tender timeouts,Payments & EFT,P4,Resolved,2025-12-04 16:59,2025-12-05 23:41,Payments Ops,Eastern Cape,payments-eft
RET-1292,"Mismatch between shelf-edge label and till price, store W310",Pricing & Promotions,P3,In Progress,2025-11-22 20:41,,Merch Systems,National / Online,pricing-promotions
RET-1293,Basket total mismatch after promo applied at checkout,Online Checkout,P3,Closed,2026-05-22 09:53,2026-05-25 10:13,Digital Commerce,Gauteng,online-checkout
RET-1294,Stock sync job overran window by 6 hours — online availability stale,Inventory & Stock Sync,P3,Closed,2026-06-09 14:52,2026-06-12 13:07,Merch Systems,North West,inventory-stock-sync
RET-1295,Same-day delivery cutoff not enforced — late promises made,Order Fulfilment,P2,Closed,2026-01-28 07:34,2026-01-29 10:50,Fulfilment Tech,Limpopo,order-fulfilment
RET-1296,EFT declines spiking at store W341 — response code 91,Payments & EFT,P3,Closed,2025-12-22 10:21,2025-12-26 12:07,Payments Ops,National / Online,payments-eft
RET-1297,Purchase order acknowledgements not reaching vendor TextilePro,Supply Chain EDI,P3,Closed,2026-02-02 06:23,2026-02-02 19:34,Integration Hub,Free State,supply-chain-edi
RET-1298,Negative SOH values appearing for 26 SKUs after nightly sync,Inventory & Stock Sync,P4,Closed,2025-12-17 18:32,2025-12-19 05:29,Merch Systems,Northern Cape,inventory-stock-sync
RET-1299,"Mismatch between shelf-edge label and till price, store W503",Pricing & Promotions,P3,Closed,2026-05-12 14:17,2026-05-15 07:00,Merch Systems,Gauteng,pricing-promotions
RET-1300,Dual-message settlement mismatch for trading date 2026-02-05,Payments & EFT,P2,Closed,2026-06-26 12:15,2026-06-27 03:55,Payments Ops,Western Cape,payments-eft
RET-1301,EDI 856 backlog of 45 messages at gateway,Supply Chain EDI,P3,Open,2026-06-08 08:15,,Integration Hub,Northern Cape,supply-chain-edi
RET-1302,Delivery slot selection failing for KwaZulu-Natal customers,Online Checkout,P3,Closed,2026-06-28 18:02,2026-07-02 14:08,Digital Commerce,Mpumalanga,online-checkout
RET-1303,EFT declines spiking at store W125 — response code 91,Payments & EFT,P3,Blocked,2026-02-19 17:14,,Payments Ops,Limpopo,payments-eft
RET-1304,Bulk corporate gift card load failed for 26 cards,Gift Cards & Vouchers,P4,Closed,2025-07-17 16:04,2025-07-20 16:15,Payments Ops,National / Online,gift-cards-vouchers
RET-1305,Router config drift detected at store W153 after change,Store Network & Connectivity,P1,Closed,2025-12-23 17:52,2025-12-24 04:34,Network Ops,Limpopo,store-network-connectivity
RET-1306,Order ORD-358705 split incorrectly across fulfilment nodes,Order Fulfilment,P2,Resolved,2026-01-29 08:25,2026-01-30 11:35,Fulfilment Tech,KwaZulu-Natal,order-fulfilment
RET-1307,"POS EOD batch stuck at store W539, trading day not closed",POS & Tills,P2,Closed,2025-12-07 06:34,2025-12-08 07:04,Store Systems,Free State,pos-tills
RET-1308,"Checkout stuck on ""processing payment"" — orders duplicated",Online Checkout,P4,In Progress,2025-08-29 13:07,,Digital Commerce,Eastern Cape,online-checkout
RET-1309,EDI 856 backlog of 57 messages at gateway,Supply Chain EDI,P4,Open,2026-02-12 18:57,,Integration Hub,Gauteng,supply-chain-edi
RET-1310,Images not loading on home screen — CDN 403s,Mobile App,P1,Closed,2026-01-21 11:49,2026-01-21 17:12,Digital Commerce,Gauteng,mobile-app
RET-1311,Click-and-collect orders stuck in ALLOCATED for store W559,Order Fulfilment,P4,Closed,2025-07-14 14:01,2025-07-18 08:41,Fulfilment Tech,National / Online,order-fulfilment
RET-1312,Cycle-count variance file rejected for store W480,Inventory & Stock Sync,P4,Closed,2026-05-05 19:21,2026-05-07 15:51,Merch Systems,Limpopo,inventory-stock-sync
RET-1313,Purchase order acknowledgements not reaching vendor HomewareHub,Supply Chain EDI,P3,Closed,2025-11-11 19:42,2025-11-16 07:51,Integration Hub,Mpumalanga,supply-chain-edi
RET-1314,Checkout payment step returning 502 for 48% of sessions,Online Checkout,P2,In Progress,2026-06-24 19:50,,Digital Commerce,Gauteng,online-checkout
RET-1315,"Receipt printer failure on till 6, store W422",POS & Tills,P4,Open,2026-05-27 12:14,,Store Systems,Western Cape,pos-tills
RET-1316,Stock-on-hand not syncing to online for DC 12 range,Inventory & Stock Sync,P3,Closed,2025-11-04 07:37,2025-11-07 19:14,Merch Systems,National / Online,inventory-stock-sync
RET-1317,Duplicate vouchers issued to 17 members,WRewards Loyalty,P3,Closed,2026-01-27 15:17,2026-02-01 21:19,Loyalty Platform,Western Cape,wrewards-loyalty
RET-1318,"Tap-to-pay failing on new terminals, store W199",Payments & EFT,P2,Resolved,2026-06-11 07:59,2026-06-12 08:53,Payments Ops,North West,payments-eft
RET-1319,"Voucher barcode not scanning at till, store W185",Gift Cards & Vouchers,P3,Resolved,2026-05-07 16:17,2026-05-12 00:42,Payments Ops,Western Cape,gift-cards-vouchers
RET-1320,Checkout payment step returning 502 for 56% of sessions,Online Checkout,P4,Resolved,2025-08-24 17:46,2025-08-27 14:17,Digital Commerce,Gauteng,online-checkout
RET-1321,App crash on product page for Android 55% of sessions,Mobile App,P2,In Progress,2026-04-28 14:09,,Digital Commerce,Gauteng,mobile-app
RET-1322,Promotion PRM-6055 double-discounting online,Pricing & Promotions,P4,Closed,2026-05-27 06:25,2026-05-31 00:47,Merch Systems,North West,pricing-promotions
RET-1323,Wi-Fi outage in backup area of store W285 — RF guns offline,Store Network & Connectivity,P3,Closed,2025-09-08 18:06,2025-09-13 23:42,Network Ops,Western Cape,store-network-connectivity
RET-1324,Click-and-collect orders stuck in ALLOCATED for store W214,Order Fulfilment,P3,Closed,2026-02-21 16:01,2026-02-24 23:17,Fulfilment Tech,Eastern Cape,order-fulfilment
RET-1325,Wi-Fi outage in backup area of store W106 — RF guns offline,Store Network & Connectivity,P4,Open,2026-06-18 18:37,,Network Ops,National / Online,store-network-connectivity
RET-1326,Card payments timing out across North West stores,Payments & EFT,P1,In Progress,2026-03-23 11:37,,Payments Ops,Eastern Cape,payments-eft
RET-1327,App checkout button unresponsive on iOS 12,Mobile App,P4,Open,2026-03-31 09:33,,Digital Commerce,Mpumalanga,mobile-app
RET-1328,"Tap-to-pay failing on new terminals, store W127",Payments & EFT,P1,In Progress,2025-09-27 13:18,,Payments Ops,Eastern Cape,payments-eft
RET-1329,ASN messages from vendor CapeMills failing schema validation,Supply Chain EDI,P3,In Progress,2026-06-17 12:31,,Integration Hub,Western Cape,supply-chain-edi
RET-1330,"Loyalty card lookup timing out at till, store W377",WRewards Loyalty,P4,Closed,2026-02-06 13:27,2026-02-09 11:30,Loyalty Platform,Free State,wrewards-loyalty
RET-1331,EDI 856 backlog of 14 messages at gateway,Supply Chain EDI,P3,In Progress,2026-01-02 17:56,,Integration Hub,KwaZulu-Natal,supply-chain-edi
RET-1332,Negative SOH values appearing for 38 SKUs after nightly sync,Inventory & Stock Sync,P2,Resolved,2026-05-03 13:39,2026-05-03 21:39,Merch Systems,National / Online,inventory-stock-sync
RET-1333,App crash on product page for Android 10% of sessions,Mobile App,P3,In Progress,2026-03-25 07:47,,Digital Commerce,Gauteng,mobile-app
